name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
Aluminerie-de-Bécancour,QC_ABC_ISS,ISS,"Hydro Québec",QC,46.377781,-72.389835,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Abitibi,QC_ABT_TSS,TSS,"Hydro Québec",QC,49.826760,-75.467877,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Abitibi Consolidated Amos",QC_ACA_ISS,ISS,"Hydro Québec",QC,48.568175,-78.157537,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
L'Acadie,QC_ACD_DSS,DSS,"Hydro Québec",QC,45.318109,-73.323239,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Abitibi Consolidated Kénogami",QC_ACK_ISS,ISS,"Hydro Québec",QC,48.431259,-71.244100,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Abitibi Consolidated Alma",QC_ACL_ISS,ISS,"Hydro Québec",QC,48.564555,-71.658843,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Acton,QC_ACT_DSS,DSS,"Hydro Québec",QC,45.646908,-72.578668,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Adélard-Godbout,QC_ADG_DSS,DSS,"Hydro Québec",QC,45.497382,-73.555737,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Adamsville,QC_ADM_DSS,DSS,"Hydro Québec",QC,45.312002,-72.715339,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Aluminière Grande-Baie Alcan",QC_AGA_ISS,ISS,"Hydro Québec",QC,48.308822,-70.924913,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
