date,g628,g636,g637,g644,g640,g629,g632,g633,g641,g635,g643,g630,g639,g631,g646,g627,g634,g642,g638,g645
2018-05-03 21:00:00,36886.56026826264,203.84771196299653,0.0,0.0,0.0,20477.39796489906,1118.1897378720446,0.0,0.0,3732.7459948677015,2803.767807014857,0.0,0.0,231.96373854548904,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 22:00:00,32712.854690593398,203.84771196299653,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3732.7459948677015,2803.767807014857,0.0,0.0,231.96373854548904,982.453392142958,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 23:00:00,38308.60462804986,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3732.7459948677015,2803.767807014857,0.0,0.0,231.96373854548904,982.453392142958,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-04 00:00:00,39386.62039954044,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3732.7459948677015,2803.767807014857,0.0,0.0,231.96373854548904,982.453392142958,0.0,239.35561907729,0.0,0.0,0.0
2018-05-04 01:00:00,39407.026972798914,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3732.7459948677015,2803.767807014857,0.0,0.0,231.96373854548904,982.453392142958,0.0,239.35561907729,0.0,0.0,0.0
2018-05-04 02:00:00,39407.026972798914,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3732.7459948677015,2803.767807014857,0.0,0.0,231.96373854548904,1052.1749774688071,0.0,239.35561907729,0.0,0.0,0.0
2018-05-04 03:00:00,36961.0999675812,203.84771196299656,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3732.7459948677015,2803.767807014857,0.0,0.0,231.96373854548904,1052.1749774688071,0.0,239.35561907729,0.0,0.0,0.0
2018-05-04 04:00:00,37036.54555909042,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3741.6745831118956,2803.767807014857,0.0,0.0,231.96373854548904,1052.1749774688071,0.0,104.54518509690699,0.0,0.0,0.0
2018-05-04 05:00:00,43266.47883902935,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3741.6745831118956,2803.767807014857,0.0,0.0,115.98186927274452,452.4096780845322,0.0,104.54518509690699,0.0,0.0,0.0
2018-05-04 06:00:00,44645.39343305287,230.40000000000006,0.0,0.0,0.0,20477.39796489906,948.7670503156744,0.0,0.0,3741.6745831118956,2803.767807014857,0.0,0.0,0.0,0.0,0.0,104.54518509690699,0.0,0.0,0.0
